timestamp,ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,ai_probability_yes,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,edge,decision,resolved_outcome,pnl_percent
2026-03-19 01:10:03,KXHIGHLAX-26MAR17-T90,"Will the **high temp in LA** be >90° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",greater_than,90.0,,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:04,KXHIGHLAX-26MAR17-T83,"Will the **high temp in LA** be <83° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",less_than,,83.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:04,KXHIGHLAX-26MAR17-B89.5,"Will the **high temp in LA** be 89-90° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,89.0,90.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:05,KXHIGHLAX-26MAR17-B87.5,"Will the **high temp in LA** be 87-88° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,87.0,88.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:05,KXHIGHLAX-26MAR17-B85.5,"Will the **high temp in LA** be 85-86° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,85.0,86.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:05,KXHIGHLAX-26MAR17-B83.5,"Will the **high temp in LA** be 83-84° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,83.0,84.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:06,KXHIGHLAX-26MAR16-T86,"Will the **high temp in LA** be >86° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",greater_than,86.0,,,,,100.0,0.0,100.0,0.0,4.0,,,NO,
2026-03-19 01:10:06,KXHIGHLAX-26MAR16-T79,"Will the **high temp in LA** be <79° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",less_than,,79.0,,,,100.0,0.0,100.0,0.0,95.0,,,YES,
2026-03-19 01:10:07,KXHIGHLAX-26MAR16-B85.5,"Will the **high temp in LA** be 85-86° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,85.0,86.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:07,KXHIGHLAX-26MAR16-B83.5,"Will the **high temp in LA** be 83-84° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,83.0,84.0,,,,100.0,0.0,100.0,0.0,2.0,,,NO,
