timestamp,city,temperature,humidity,pressure,wind_speed,clouds,visibility,rain,weather
2026-03-18 00:00:35,"London,GB",9.52,81,1015,3.09,55,10000,0,broken clouds
2026-03-18 00:00:36,"Seoul,KR",5.76,70,1016,1.54,100,5000,1.15,moderate rain
2026-03-18 00:00:36,"Paris,FR",10.85,76,1018,3.6,0,10000,0,clear sky
2026-03-18 01:00:09,"New York,US",2.57,38,1018,8.23,100,10000,0,overcast clouds
2026-03-18 01:00:09,"Seattle,US",12.56,87,1016,4.92,100,10000,0.52,light rain
2026-03-18 01:00:10,"Chicago,US",-4.99,57,1023,4.63,100,10000,0,overcast clouds
2026-03-18 01:00:10,"Dallas,US",16.59,23,1019,6.69,40,10000,0,scattered clouds
2026-03-18 01:00:10,"Tokyo,JP",11.38,68,1021,3.09,75,10000,0,broken clouds
2026-03-18 01:00:11,"Toronto,CA",-6.88,60,1020,15.2,0,10000,0,light snow
2026-03-18 01:00:11,"Singapore,SG",26.36,88,1012,3.09,75,10000,0,broken clouds
2026-03-18 01:00:12,"London,GB",9.08,82,1016,2.57,47,10000,0,scattered clouds
2026-03-18 01:00:12,"Seoul,KR",6.76,76,1017,2.06,100,5000,0.87,light rain
2026-03-18 01:00:13,"Paris,FR",11.15,75,1017,3.6,0,10000,0,clear sky
2026-03-18 02:00:07,"New York,US",1.77,43,1019,8.23,20,10000,0,few clouds
2026-03-18 02:00:07,"Seattle,US",12.23,89,1016,7.6,100,10000,0.24,light rain
2026-03-18 02:00:07,"Chicago,US",-5.07,61,1024,1.79,100,10000,0,overcast clouds
2026-03-18 02:00:07,"Dallas,US",15.02,27,1020,3.13,14,10000,0,few clouds
2026-03-18 02:00:07,"Tokyo,JP",12.35,65,1021,2.06,75,10000,0,broken clouds
2026-03-18 02:00:08,"Toronto,CA",-7.04,61,1022,15.2,75,10000,0,broken clouds
2026-03-18 02:00:08,"Singapore,SG",27.79,80,1012,4.63,75,10000,0,broken clouds
2026-03-18 02:00:08,"London,GB",8.57,83,1016,3.6,6,10000,0,clear sky
2026-03-18 02:00:09,"Seoul,KR",6.76,65,1017,2.06,100,5000,1.15,moderate rain
2026-03-18 02:00:09,"Paris,FR",10.06,80,1017,4.12,0,10000,0,clear sky
2026-03-18 10:00:54,"New York,US",-2.74,48,1026,7.2,0,10000,0,clear sky
2026-03-18 10:00:55,"Seattle,US",11.24,95,1015,3.6,100,3219,0,mist
2026-03-18 10:00:55,"Chicago,US",-4.43,85,1020,5.14,100,3219,0,mist
2026-03-18 10:00:55,"Dallas,US",9.95,43,1019,5.66,75,10000,0,broken clouds
2026-03-18 10:00:56,"Tokyo,JP",15.24,70,1015,3.6,75,10000,0,broken clouds
2026-03-18 10:00:57,"Toronto,CA",-6.83,78,1025,15.2,75,10000,0,broken clouds
2026-03-18 10:00:57,"Singapore,SG",31.04,66,1008,6.69,40,10000,0,scattered clouds
2026-03-18 10:00:57,"London,GB",11.93,76,1020,4.12,7,10000,0,clear sky
2026-03-18 10:00:58,"Seoul,KR",8.76,66,1013,5.66,75,10000,0,broken clouds
2026-03-18 10:00:58,"Paris,FR",11.38,58,1020,6.69,0,10000,0,clear sky
2026-03-18 11:00:15,"New York,US",-3.24,47,1027,4.47,0,10000,0,clear sky
2026-03-18 11:00:15,"Seattle,US",11.13,94,1015,4.02,100,3219,0.12,mist
2026-03-18 11:00:16,"Chicago,US",-4.41,86,1020,4.12,100,4828,0,mist
2026-03-18 11:00:18,"Dallas,US",9.28,48,1019,3.13,77,10000,0,broken clouds
2026-03-18 11:00:19,"Tokyo,JP",14.36,75,1015,4.12,75,10000,0,broken clouds
2026-03-18 11:00:20,"Toronto,CA",-6.8,78,1026,15.2,100,10000,0,overcast clouds
2026-03-18 11:00:20,"Singapore,SG",30.97,59,1008,5.66,75,9000,0,broken clouds
2026-03-18 11:00:28,"London,GB",14.49,64,1021,4.12,7,10000,0,clear sky
2026-03-18 11:00:29,"Seoul,KR",7.76,66,1014,3.09,75,10000,0,haze
2026-03-18 11:00:30,"Paris,FR",12.75,44,1020,8.23,0,10000,0,clear sky
2026-03-18 12:00:54,"New York,US",-3.4,47,1029,6.17,0,10000,0,clear sky
2026-03-18 12:00:55,"Seattle,US",11.08,94,1014,5.81,100,8047,0.13,light rain
2026-03-18 12:00:55,"Chicago,US",-4.25,86,1020,5.14,100,10000,0,light snow
2026-03-18 12:00:59,"Dallas,US",8.51,53,1020,4.63,75,10000,0,broken clouds
2026-03-18 12:01:00,"Tokyo,JP",14.16,77,1014,4.12,75,10000,0,broken clouds
2026-03-18 12:01:00,"Toronto,CA",-6.6,78,1026,15.2,100,10000,0,overcast clouds
2026-03-18 12:01:02,"Singapore,SG",30.54,65,1009,5.66,75,10000,0,broken clouds
2026-03-18 12:01:10,"London,GB",16.53,55,1021,3.6,7,10000,0,clear sky
2026-03-18 12:01:10,"Seoul,KR",5.76,81,1015,6.17,0,10000,0,haze
2026-03-18 12:01:11,"Paris,FR",13.52,37,1019,8.23,0,10000,0,clear sky
2026-03-18 13:00:05,"New York,US",-3.22,45,1030,6.17,0,10000,0,clear sky
