timestamp,total_trades,wins,losses,pending,win_rate_percent,total_pnl_percent,final_bankroll,bankroll_return_percent
2026-03-19 20:59:08,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-19 22:15:02,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-19 23:15:02,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-20 00:15:02,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-20 14:15:06,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-20 15:15:03,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-21 10:15:02,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-22 10:03:16,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-22 10:15:06,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-23 09:15:08,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-23 15:15:09,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-23 16:15:05,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-23 17:15:15,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-24 10:15:07,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-24 11:15:07,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-25 09:15:05,7,7,0,0,100.0,260.0,1062.81,6.28
2026-03-25 10:15:05,21,7,0,0,100.0,260.0,1000.0,0.0
2026-03-26 09:15:23,21,7,0,0,100.0,260.0,1000.0,0.0
2026-03-27 09:15:08,32,7,0,0,100.0,260.0,1000.0,0.0
2026-03-28 09:15:05,64,7,0,0,100.0,260.0,1000.0,0.0
2026-03-28 10:15:07,43,8,6,29,57.14,0.0,1000.0,0.0
2026-03-29 01:15:08,41,13,11,17,54.17,0.0,1000.0,0.0
2026-03-29 11:15:09,69,14,13,41,51.85,0.0,1000.0,0.0
2026-03-30 12:15:07,66,30,24,11,55.56,0.0,1000.0,0.0
2026-03-31 11:15:07,78,38,27,12,58.46,0.0,1000.0,0.0
2026-04-01 14:15:08,78,38,27,12,58.46,0.0,1000.0,0.0
2026-04-02 12:15:08,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-02 20:15:08,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-02 21:15:04,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-02 22:15:18,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-03 00:15:07,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-03 10:15:09,83,45,32,5,58.44,0.0,1000.0,0.0
2026-04-04 10:15:21,87,48,34,4,58.54,0.0,1000.0,0.0
2026-04-04 11:15:10,94,51,35,7,59.3,0.0,1000.0,0.0
2026-04-05 10:15:08,94,51,35,7,59.3,0.0,1000.0,0.0
2026-04-07 11:15:05,111,63,38,9,62.38,0.0,1000.0,0.0
2026-04-07 12:15:08,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-08 18:15:07,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-09 17:15:22,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-09 22:15:08,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-09 23:15:05,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-10 00:15:08,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-10 14:15:09,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-10 20:15:04,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-11 11:15:23,111,70,40,0,63.64,0.0,1000.0,0.0
2026-04-11 12:17:55,12,0,0,0,0.0,0.0,1000.0,0.0
2026-04-11 13:15:23,12,0,0,0,0.0,0.0,1000.0,0.0
2026-04-12 09:15:09,12,0,0,0,0.0,0.0,1000.0,0.0
2026-04-13 09:15:12,39,0,0,0,0.0,0.0,1000.0,0.0
2026-04-13 10:15:05,39,0,0,0,0.0,0.0,1000.0,0.0
2026-04-14 12:15:41,32,0,0,0,0.0,0.0,1000.0,0.0
2026-04-15 11:15:08,38,0,0,0,0.0,0.0,1000.0,0.0
2026-04-15 12:15:07,38,0,0,0,0.0,0.0,1000.0,0.0
